date,t10y2y_slope
2004-01-01,
2004-01-02,
2004-01-05,
2004-01-06,
2004-01-07,
2004-01-08,
2004-01-09,
2004-01-12,
2004-01-13,
2004-01-14,
2004-01-15,
2004-01-16,
2004-01-19,
2004-01-20,
2004-01-21,
2004-01-22,
2004-01-23,
2004-01-26,
2004-01-27,
2004-01-28,
2004-01-29,
2004-01-30,
2004-02-02,
2004-02-03,
2004-02-04,
2004-02-05,
2004-02-06,
2004-02-09,
2004-02-10,
2004-02-11,
2004-02-12,
2004-02-13,
2004-02-16,
2004-02-17,
2004-02-18,
2004-02-19,
2004-02-20,
2004-02-23,
2004-02-24,
2004-02-25,
2004-02-26,
2004-02-27,
2004-03-01,
2004-03-02,
2004-03-03,
2004-03-04,
2004-03-05,
2004-03-08,
2004-03-09,
2004-03-10,
2004-03-11,
2004-03-12,
2004-03-15,
2004-03-16,
2004-03-17,
2004-03-18,
2004-03-19,
2004-03-22,
2004-03-23,
2004-03-24,
2004-03-25,
2004-03-26,
2004-03-29,
2004-03-30,
2004-03-31,
2004-04-01,
2004-04-02,
2004-04-05,
2004-04-06,
2004-04-07,
2004-04-08,
2004-04-09,
2004-04-12,
2004-04-13,
2004-04-14,
2004-04-15,
2004-04-16,
2004-04-19,
2004-04-20,
2004-04-21,
2004-04-22,
2004-04-23,
2004-04-26,
2004-04-27,
2004-04-28,
2004-04-29,
2004-04-30,
2004-05-03,
2004-05-04,
2004-05-05,
2004-05-06,
2004-05-07,
2004-05-10,
2004-05-11,
2004-05-12,
2004-05-13,
2004-05-14,
2004-05-17,
2004-05-18,
2004-05-19,
2004-05-20,
2004-05-21,
2004-05-24,
2004-05-25,
2004-05-26,
2004-05-27,
2004-05-28,
2004-05-31,
2004-06-01,
2004-06-02,
2004-06-03,
2004-06-04,
2004-06-07,
2004-06-08,
2004-06-09,
2004-06-10,
2004-06-11,
2004-06-14,
2004-06-15,
2004-06-16,
2004-06-17,
2004-06-18,
2004-06-21,
2004-06-22,
2004-06-23,
2004-06-24,
2004-06-25,
2004-06-28,
2004-06-29,
2004-06-30,
2004-07-01,
2004-07-02,
2004-07-05,
2004-07-06,
2004-07-07,
2004-07-08,
2004-07-09,
2004-07-12,
2004-07-13,
2004-07-14,
2004-07-15,
2004-07-16,
2004-07-19,
2004-07-20,
2004-07-21,
2004-07-22,
2004-07-23,
2004-07-26,
2004-07-27,
2004-07-28,
2004-07-29,
2004-07-30,
2004-08-02,
2004-08-03,
2004-08-04,
2004-08-05,
2004-08-06,
2004-08-09,
2004-08-10,
2004-08-11,
2004-08-12,
2004-08-13,
2004-08-16,
2004-08-17,
2004-08-18,
2004-08-19,
2004-08-20,
2004-08-23,
2004-08-24,
2004-08-25,
2004-08-26,
2004-08-27,
2004-08-30,
2004-08-31,
2004-09-01,
2004-09-02,
2004-09-03,
2004-09-06,
2004-09-07,
2004-09-08,
2004-09-09,
2004-09-10,
2004-09-13,
2004-09-14,
2004-09-15,
2004-09-16,
2004-09-17,
2004-09-20,
2004-09-21,
2004-09-22,
2004-09-23,
2004-09-24,
2004-09-27,
2004-09-28,
2004-09-29,
2004-09-30,
2004-10-01,
2004-10-04,
2004-10-05,
2004-10-06,
2004-10-07,
2004-10-08,
2004-10-11,
2004-10-12,
2004-10-13,
2004-10-14,
2004-10-15,
2004-10-18,
2004-10-19,
2004-10-20,
2004-10-21,
2004-10-22,
2004-10-25,
2004-10-26,
2004-10-27,
2004-10-28,
2004-10-29,
2004-11-01,
2004-11-02,
2004-11-03,
2004-11-04,
2004-11-05,
2004-11-08,
2004-11-09,
2004-11-10,
2004-11-11,
2004-11-12,
2004-11-15,
2004-11-16,
2004-11-17,
2004-11-18,
2004-11-19,
2004-11-22,
2004-11-23,
2004-11-24,
2004-11-25,
2004-11-26,
2004-11-29,
2004-11-30,
2004-12-01,
2004-12-02,
2004-12-03,
2004-12-06,
2004-12-07,
2004-12-08,
2004-12-09,
2004-12-10,
2004-12-13,
2004-12-14,
2004-12-15,
2004-12-16,
2004-12-17,
2004-12-20,
2004-12-21,
2004-12-22,
2004-12-23,
2004-12-24,
2004-12-27,
2004-12-28,
2004-12-29,
2004-12-30,
2004-12-31,
2005-01-03,
2005-01-04,
2005-01-05,
2005-01-06,
2005-01-07,
2005-01-10,
2005-01-11,
2005-01-12,
2005-01-13,
2005-01-14,
2005-01-17,
2005-01-18,
2005-01-19,
2005-01-20,
2005-01-21,
2005-01-24,
2005-01-25,
2005-01-26,
2005-01-27,
2005-01-28,
2005-01-31,
2005-02-01,
2005-02-02,
2005-02-03,
2005-02-04,
2005-02-07,
2005-02-08,
2005-02-09,
2005-02-10,
2005-02-11,
2005-02-14,
2005-02-15,
2005-02-16,
2005-02-17,
2005-02-18,
2005-02-21,
2005-02-22,
2005-02-23,
2005-02-24,
2005-02-25,
2005-02-28,
2005-03-01,
2005-03-02,
2005-03-03,
2005-03-04,
2005-03-07,
2005-03-08,
2005-03-09,
2005-03-10,
2005-03-11,
2005-03-14,
2005-03-15,
2005-03-16,
2005-03-17,
2005-03-18,
2005-03-21,
2005-03-22,
2005-03-23,
2005-03-24,
2005-03-25,
2005-03-28,
2005-03-29,
2005-03-30,
2005-03-31,
2005-04-01,
2005-04-04,
2005-04-05,
2005-04-06,
2005-04-07,
2005-04-08,
2005-04-11,
2005-04-12,
2005-04-13,
2005-04-14,
2005-04-15,
2005-04-18,
2005-04-19,
2005-04-20,
2005-04-21,
2005-04-22,
2005-04-25,
2005-04-26,
2005-04-27,
2005-04-28,
2005-04-29,
2005-05-02,
2005-05-03,
2005-05-04,
2005-05-05,
2005-05-06,
2005-05-09,
2005-05-10,
2005-05-11,
2005-05-12,
2005-05-13,-0.005879229263981878
2005-05-16,-0.005892485166014594
2005-05-17,-0.005906372301477614
2005-05-18,-0.005920022724404395
2005-05-19,-0.005933909859866082
2005-05-20,-0.005948980558009631
2005-05-23,-0.005963972351975433
2005-05-24,-0.0059770704456516555
2005-05-25,-0.005988906072466049
2005-05-26,-0.006000978411816238
2005-05-27,-0.006012024996843168
2005-05-30,-0.0060198365105407214
2005-05-31,-0.006023939527837419
2005-06-01,-0.00602630665320103
2005-06-02,-0.006029936245423473
2005-06-03,-0.006035775154651479
2005-06-06,-0.006043034339099029
2005-06-07,-0.006052108319656968
2005-06-08,-0.006063549425576631
2005-06-09,-0.006075858477465612
2005-06-10,-0.006087773008459418
2005-06-13,-0.006098898497663097
2005-06-14,-0.006109234945081754
2005-06-15,-0.006119887009216618
2005-06-16,-0.0061316437318528205
2005-06-17,-0.006143952783740136
2005-06-20,-0.006156419643985056
2005-06-21,-0.006169517737658614
2005-06-22,-0.0061828525438698545
2005-06-23,-0.006195003787400566
2005-06-24,-0.006205576947354685
2005-06-27,-0.006214650927913179
2005-06-28,-0.006222067920718222
2005-06-29,-0.006229327105163107
2005-06-30,-0.006237848756469155
2005-07-01,-0.006247001641207728
2005-07-04,-0.006256391238479986
2005-07-05,-0.006266254260825388
2005-07-06,-0.00627627509152906
2005-07-07,-0.006286138113874351
2005-07-08,-0.006296237848756658
2005-07-11,-0.006306416487817379
2005-07-12,-0.0063150170433023955
2005-07-13,-0.00632148718596115
2005-07-14,-0.006327404999368791
2005-07-15,-0.006334111854563895
2005-07-18,-0.006340503093044458
2005-07-19,-0.006345552960484779
2005-07-20,-0.006350129402853288
2005-07-21,-0.006353758995076619
2005-07-22,-0.006355968312081406
2005-07-25,-0.006357230778941236
2005-07-26,-0.006357940916550731
2005-07-27,-0.006358808862517162
2005-07-28,-0.0063592822875898625
2005-07-29,-0.006357704204015602
2005-08-01,-0.006354469132685336
2005-08-02,-0.0063515496780705005
2005-08-03,-0.006350050498675097
2005-08-04,-0.006351155157177657
2005-08-05,-0.006355494887008373
2005-08-08,-0.006361412700416125
2005-08-09,-0.006366541472036191
2005-08-10,-0.006370644489332222
2005-08-11,-0.0063745896982705386
2005-08-12,-0.006377272440348691
2005-08-15,-0.006377745865421058
2005-08-16,-0.00637648339856034
2005-08-17,-0.006373248327232073
2005-08-18,-0.006368119555611895
2005-08-19,-0.00636125489205841
2005-08-22,-0.006353680090897429
2005-08-23,-0.006347288852417865
2005-08-24,-0.006341923368261448
2005-08-25,-0.006336557884105365
2005-08-26,-0.006331113495770757
2005-08-29,-0.006326615957581216
2005-08-30,-0.006323775407145349
2005-08-31,-0.0063218817068546596
2005-09-01,-0.006319909102386667
2005-09-02,-0.006317778689559961
2005-09-05,-0.006315253755838857
2005-09-06,-0.00631130854690054
2005-09-07,-0.006305706350207996
2005-09-08,-0.006298526069940413
2005-09-09,-0.00628953099356111
2005-09-12,-0.0062800624921096615
2005-09-13,-0.0062711463199093265
2005-09-14,-0.006260415351596937
2005-09-15,-0.006246528216134362
2005-09-16,-0.006231852038884433
2005-09-19,-0.0062177281908853965
2005-09-20,-0.006203525438707502
2005-09-21,-0.006188612548920114
2005-09-22,-0.006172516096452307
2005-09-23,-0.006155788410554197
2005-09-26,-0.0061392185330133575
2005-09-27,-0.00612454235576354
2005-09-28,-0.00611183878298216
